Designator,Mid X,Mid Y,Rotation,Layer
D1,37.02,-55.6,0.0,top
D2,66.5,-55.6,0.0,top
D3,96.02,-55.6,0.0,top
D4,125.42,-55.6,0.0,top
J1,31.42825,-31.7,180.0,top
J2,60.9855,-31.7,180.0,top
J3,90.54275,-31.7,180.0,top
J4,120.1,-31.7,180.0,top
J5,73.9,-72.8,0.0,top
OSHW_COPPER_1,52.8,-68.687739,0.0,top
R1,37.0,-53.0,180.0,top
R2,37.0,-58.1,0.0,top
R3,66.60525,-53.0,180.0,top
R4,66.5,-58.1,0.0,top
R5,96.0,-53.0,180.0,top
R6,96.0,-58.1,0.0,top
R7,125.4,-53.0,180.0,top
R8,125.4,-58.1,0.0,top
